Date and Time of initial call,Borough,Property,Location,Species Description,Species Status,Animal Condition,Animal Class,Final Ranger Action,# of Animals,Year,full_address
2019-04-29 12:30:00,Staten Island,Franklin D. Roosevelt Boardwalk and Beach,Fort Wadsworth side of beach but visible from South Beach,seal (unknown),Native,DOA,Marine Mammals-seals only,Relocated/Condition Corrected,1.0,2019,"Franklin D. Roosevelt Boardwalk and Beach, Staten Island, NY"
2019-04-28 08:30:00,Queens,Forest Park,Trails near Victory Field,raccoon,Native,Unhealthy,Small Mammals-RVS,Unfounded,0.0,2019,"Forest Park, Queens, NY"
2019-04-28 08:25:00,Manhattan,Central Park,Northside Bird Island in Harlem Meer,egret (unknown),Native,,Birds,Monitored Animal,1.0,2019,"Central Park, Manhattan, NY"
2019-04-26 12:30:00,Brooklyn,Prospect Park,Lake,canada goose,Native,Injured,Birds,ACC,1.0,2019,"Prospect Park, Brooklyn, NY"
2019-04-25 16:00:00,Staten Island,Blue Heron Park,Fork in the red and green trail,striped skunk,Native,Healthy,Small Mammals-RVS,Rehabilitator,2.0,2019,"Blue Heron Park, Staten Island, NY"
2019-04-23 15:00:00,Manhattan,Fort Washington Park,170 Street next to the Greenway,striped skunk,Native,DOA,Small Mammals-RVS,ACC,1.0,2019,"Fort Washington Park, Manhattan, NY"
2019-04-23 14:45:00,Manhattan,Central Park,on Glade arch by the  Maple tree,eastern gray squirrel,Native,Injured,Small Mammals-non RVS,Relocated/Condition Corrected,1.0,2019,"Central Park, Manhattan, NY"
2019-04-23 00:00:00,Bronx,Van Cortlandt Park,Van Cortlandt Nature Center,painted turtle,Native,Healthy,Terrestrial Reptile or Amphibian,Relocated/Condition Corrected,1.0,2019,"Van Cortlandt Park, Bronx, NY"
2019-04-23 10:00:00,Staten Island,Blue Heron Park,Intersection of green and red trail close to Spring Pond,striped skunk,Native,Unhealthy,Small Mammals-RVS,ACC,1.0,2019,"Blue Heron Park, Staten Island, NY"
2019-04-22 10:30:00,Queens,Rockaway Beach and Boardwalk,Beach 23rd Street inside plover site,northern gannet,Native,Injured,Birds,ACC,1.0,2019,"Rockaway Beach and Boardwalk, Queens, NY"
2019-04-21 16:20:00,Bronx,Van Cortlandt Park,John Kieran Trail,raccoon,Native,Healthy,Small Mammals-RVS,Monitored Animal,1.0,2019,"Van Cortlandt Park, Bronx, NY"
2019-04-21 00:00:00,Manhattan,Riverside Park,Hippo Playground,raccoon,Native,Healthy,Small Mammals-RVS,Relocated/Condition Corrected,1.0,2019,"Riverside Park, Manhattan, NY"
2019-04-21 14:00:00,Queens,Astoria Park,Basketball Courts,budgerigar parakeet,Domestic,Healthy,Birds,Unfounded,0.0,2019,"Astoria Park, Queens, NY"
2019-04-21 13:45:00,Bronx,Van Cortlandt Park,Parade Ground Bridle Path,painted turtle,Native,Healthy,Terrestrial Reptile or Amphibian,Relocated/Condition Corrected,1.0,2019,"Van Cortlandt Park, Bronx, NY"
2019-04-17 11:30:00,Queens,Kissena Park,Underhill Ave and 164th St,raccoon,Native,Unhealthy,Small Mammals-RVS,Unfounded,0.0,2019,"Kissena Park, Queens, NY"
2019-04-19 13:00:00,Queens,Kissena Park,Underhill Ave and 164th St,raccoon,Native,Injured,Small Mammals-RVS,Unfounded,0.0,2019,"Kissena Park, Queens, NY"
2019-04-19 09:45:00,Brooklyn,Calvert Vaux Park,"40.585782, -73.991013",raccoon,Native,Unhealthy,Small Mammals-RVS,ACC,1.0,2019,"Calvert Vaux Park, Brooklyn, NY"
2019-04-18 00:00:00,Bronx,Crotona Park,"Crotona, Indian Lake",domestic duck,Domestic,Healthy,Domestic;#Birds,Rehabilitator,1.0,2019,"Crotona Park, Bronx, NY"
2019-04-18 09:45:00,Manhattan,Morningside Park,Northern Morningside Park,raccoon,Native,DOA,Small Mammals-RVS,ACC,1.0,2019,"Morningside Park, Manhattan, NY"
2019-04-18 08:00:00,Manhattan,Inwood Hill Park,"40.867995, -73.927794 cross streets: Beak St and Payson Ave.",raccoon,Native,DOA,Small Mammals-RVS,ACC,1.0,2019,"Inwood Hill Park, Manhattan, NY"
2019-04-17 13:00:00,Manhattan,Central Park,Near Boathouse Restaurant Parking Lot,american robin,Native,Injured,Birds,Rehabilitator,1.0,2019,"Central Park, Manhattan, NY"
2019-04-12 15:00:00,Brooklyn,Owl's Head Park,"68th and shore road (40.639650, -74.035170)",raccoon,Native,Unhealthy,Small Mammals-RVS,ACC,1.0,2019,"Owl's Head Park, Brooklyn, NY"
2019-04-16 11:15:00,Manhattan,Central Park,Lawn South of Hecksher Playground,raccoon,Native,Healthy,Small Mammals-RVS,Advised/Educated others,1.0,2019,"Central Park, Manhattan, NY"
2019-04-15 12:00:00,Bronx,Pugsley Creek Park,Within the park,raccoon,Native,,Small Mammals-RVS,Unfounded,0.0,2019,"Pugsley Creek Park, Bronx, NY"
2019-04-14 12:25:00,Queens,Highland Park,Near entrance to path through Basin 2,cockatiel,Domestic,Healthy,Birds,ACC,1.0,2019,"Highland Park, Queens, NY"
2019-04-11 11:45:00,Queens,Forest Park,Entrance to blue trail past Victory Field,raccoon,Native,DOA,Small Mammals-RVS,Relocated/Condition Corrected,1.0,2019,"Forest Park, Queens, NY"
2019-04-13 14:00:00,Manhattan,Inwood Hill Park,"Southeast corner Gaelic Soccer Field 40°52'18.8""N 73°55'19.3""W",raccoon,Native,Unhealthy,Small Mammals-RVS,ACC,1.0,2019,"Inwood Hill Park, Manhattan, NY"
2019-04-11 15:30:00,Manhattan,Central Park,"102 Street Cut Through, North Woods",raccoon,Native,Healthy,Small Mammals-RVS,Advised/Educated others,1.0,2019,"Central Park, Manhattan, NY"
2019-04-12 17:00:00,Manhattan,Inwood Hill Park,The wall near Seaman Ave entrance,striped skunk,Native,,Small Mammals-RVS,Monitored Animal,1.0,2019,"Inwood Hill Park, Manhattan, NY"
2019-04-08 13:00:00,Manhattan,Inwood Hill Park,"Underneath and east of Henry Hudson Bridge, White trail of inwood hill park, in middle of a desire line that leads to lesser known glacial rock formations. GPS (40.875924, -73.922876 )",raccoon,Native,DOA,Small Mammals-RVS,Relocated/Condition Corrected,1.0,2019,"Inwood Hill Park, Manhattan, NY"
2019-04-11 08:30:00,Manhattan,Central Park,By pinetum south of the basketball courts,northern saw-whet owl,Native,,Raptors,Relocated/Condition Corrected,1.0,2019,"Central Park, Manhattan, NY"
2019-04-09 14:00:00,Queens,Alley Pond Park,"On perimeter of Little Alley Pond (40.740234, -73.740571)",raccoon,Native,DOA,Small Mammals-RVS,Relocated/Condition Corrected,1.0,2019,"Alley Pond Park, Queens, NY"
2019-04-08 13:15:00,Queens,Rockaway Beach 48 Street,On the sand in the plover site,dog,Domestic,Healthy,Domestic,ACC,1.0,2019,"Rockaway Beach 48 Street, Queens, NY"
2019-04-09 14:00:00,Manhattan,Central Park,By Dana Center on Bald Cypress Tree,american robin,Native,DOA,Birds,Relocated/Condition Corrected,1.0,2019,"Central Park, Manhattan, NY"
2019-04-09 09:30:00,Staten Island,Willowbrook Park,Willowbrook pond,domestic duck,Domestic,,Domestic,Advised/Educated others,6.0,2019,"Willowbrook Park, Staten Island, NY"
2019-04-07 12:30:00,Queens,Forest Park,"Tennis Courts (40.697601, -73.856528)",raccoon,Native,DOA,Small Mammals-RVS,ACC,1.0,2019,"Forest Park, Queens, NY"
2019-04-07 15:00:00,Manhattan,Inwood Hill Park,"Gaelic field (40.873125, -73.921672)",big brown bat,Native,Healthy,Small Mammals-RVS,Relocated/Condition Corrected,1.0,2019,"Inwood Hill Park, Manhattan, NY"
2019-04-06 16:00:00,Manhattan,Randall's Island Park,Northeast part of the park connecting to the bronx,virginia opossum,Native,Healthy,Small Mammals-non RVS,Advised/Educated others,1.0,2019,"Randall's Island Park, Manhattan, NY"
2019-04-05 12:30:00,Manhattan,Centrail Park,Hecksher Ballfields,virginia opossum,Native,Healthy,Small Mammals-non RVS,Advised/Educated others,1.0,2019,"Centrail Park, Manhattan, NY"
2019-04-04 15:30:00,Manhattan,St. Nicholas Park,135th and St. Nicholas Terrace,corn snake,Exotic,Healthy,Terrestrial Reptile or Amphibian,Relocated/Condition Corrected,1.0,2019,"St. Nicholas Park, Manhattan, NY"
2019-04-04 14:00:00,Manhattan,Isham Park,On the desire line north of the marble outcrop,virginia opossum,Native,DOA,Small Mammals-non RVS,Relocated/Condition Corrected,1.0,2019,"Isham Park, Manhattan, NY"
2019-04-04 08:30:00,Queens,Kissena Park,"Rose Ave and Parsons Blvd in the park on the staircase by the tennis courts (40.7477253, -738101592)",raccoon,Native,Unhealthy,Small Mammals-RVS,ACC,1.0,2019,"Kissena Park, Queens, NY"
2019-04-03 16:30:00,Manhattan,Fort Tryon Park,West of the Anne Loftus Playground on the path up the hill by the glacial pothole,striped skunk,Native,Unhealthy,Small Mammals-RVS,ACC,1.0,2019,"Fort Tryon Park, Manhattan, NY"
2019-04-03 10:30:00,Queens,Kissena Park,Kissena Lake,mute swan,Invasive,Healthy,Birds,Monitored Animal,1.0,2019,"Kissena Park, Queens, NY"
2019-04-03 10:15:00,Queens,Flushing Meadows Corona Park,"Near Triassic Playground (40.729679, -73.834498)",raccoon,Native,Unhealthy,Small Mammals-RVS,ACC,1.0,2019,"Flushing Meadows Corona Park, Queens, NY"
2019-04-01 21:10:00,Staten Island,Greenbelt Recreation Center,In parking lot outside of recreation center,chicken,Domestic,Healthy,Domestic,ACC,1.0,2019,"Greenbelt Recreation Center, Staten Island, NY"
2019-04-02 10:00:00,Manhattan,Central Park,Near Billie Johnson Playground,virginia opossum,Native,,Small Mammals-non RVS,Unfounded,0.0,2019,"Central Park, Manhattan, NY"
2019-04-02 11:00:00,Manhattan,Central Park,Northwoods near 102nd St Cross Over,cooper's hawk,Native,DOA,Raptors,Submitted for DEC Testing,1.0,2019,"Central Park, Manhattan, NY"
2019-04-02 09:00:00,Staten Island,Greenbelt Recreation Center,Around the soccer field,chicken,Domestic,,Domestic;#Birds,Unfounded,0.0,2019,"Greenbelt Recreation Center, Staten Island, NY"
2019-04-02 09:20:00,Bronx,Van Cortlandt Park,Driveway leading to Arthur Ross Nursery,raccoon,Native,Unhealthy,Small Mammals-RVS,Unfounded,0.0,2019,"Van Cortlandt Park, Bronx, NY"
2019-03-30 15:15:00,Staten Island,Willowbrook Park,Near Pond,canada goose,Native,,Birds,Monitored Animal,1.0,2019,"Willowbrook Park, Staten Island, NY"
2019-04-01 11:30:00,Staten Island,Willowbrook Park,Entrance from Eton Place,canada goose,Native,,Birds,Monitored Animal,2.0,2019,"Willowbrook Park, Staten Island, NY"
2019-04-01 14:00:00,Manhattan,Inwood Hill Park,"Northernmost corner of Gaelic Field, largest black willow tree, within a cavity 12 feet off ground. GPS 40°52'27.0""N 73°55'21.6""W",raccoon,Native,DOA,Small Mammals-RVS,Relocated/Condition Corrected,1.0,2019,"Inwood Hill Park, Manhattan, NY"
2019-03-31 12:30:00,Staten Island,Conference House Park,Beach near Swinnerton St and Billop Ave,harbor porpoise,Native,DOA,"Marine Mammals-whales, Dolphin",Relocated/Condition Corrected,1.0,2019,"Conference House Park, Staten Island, NY"
2019-03-31 08:00:00,Brooklyn,Saratoga Park,"East entrance directly across from 55 Saratoga Avenue (40.685087, -73.917907)",raccoon,Native,Unhealthy,Small Mammals-RVS,Unfounded,0.0,2019,"Saratoga Park, Brooklyn, NY"
2019-03-30 13:00:00,Queens,Forest Park,"40.704718, -73.839654",raccoon,Native,Unhealthy,Small Mammals-RVS,ACC,1.0,2019,"Forest Park, Queens, NY"
2019-03-30 14:45:00,Queens,College Point Park,"College Point Blvd & 14th Ave (40.7855485,-73.8458702)",raccoon,Native,Unhealthy,Small Mammals-RVS,Unfounded,0.0,2019,"College Point Park, Queens, NY"
2019-03-30 13:15:00,Brooklyn,Shore Park and Parkway,By the 4th Avenue entrance,virginia opossum,Native,Unhealthy,Small Mammals-non RVS,Unfounded,0.0,2019,"Shore Park and Parkway, Brooklyn, NY"
2019-03-29 15:00:00,Brooklyn,Prospect Park,Ice ladder Ladder 26 lullwater 40.659509. -73.968214,raccoon,Native,Unhealthy,Small Mammals-RVS,Monitored Animal,1.0,2019,"Prospect Park, Brooklyn, NY"
2019-03-29 21:30:00,Manhattan,Morningside Park,113th near steps,snake (unknown),Exotic,,Terrestrial Reptile or Amphibian,Unfounded,0.0,2019,"Morningside Park, Manhattan, NY"
2019-03-29 12:12:00,Brooklyn,Shore Park and Parkway,"40.634161, -74.038561",raccoon,Native,Unhealthy,Small Mammals-RVS,ACC,1.0,2019,"Shore Park and Parkway, Brooklyn, NY"
2019-03-28 13:00:00,Bronx,Orchard Beach,Between the volleyball and basketball courts,striped skunk,Native,Unhealthy,Small Mammals-RVS,ACC,1.0,2019,"Orchard Beach, Bronx, NY"
2019-03-27 12:00:00,Bronx,Bronx Park,"""On the walking path by the water""",chicken,Domestic,,Domestic,Unfounded,0.0,2019,"Bronx Park, Bronx, NY"
2019-03-28 12:15:00,Staten Island,"Schmul Park 40.589434, -74.187249",Basket ball court fence,raccoon,Native,Unhealthy,Small Mammals-RVS,ACC,1.0,2019,"Schmul Park 40.589434, -74.187249, Staten Island, NY"
2019-03-28 09:25:00,Staten Island,Ocean Breeze Park,Mason & Raritan Ave,wild turkey,Native,Healthy,Birds,Monitored Animal,1.0,2019,"Ocean Breeze Park, Staten Island, NY"
2019-03-28 09:15:00,Staten Island,High Rock Park,Between Altamont Street and Moravian Cemetary,wild turkey,Native,,Birds,Unfounded,0.0,2019,"High Rock Park, Staten Island, NY"
2019-03-27 16:55:00,Staten Island,Historic Richmondtown,Near the pond side,canada goose,Native,Injured,Birds,Monitored Animal,2.0,2019,"Historic Richmondtown, Staten Island, NY"
2019-03-27 11:30:00,Queens,Forest Park,"Behind Visitor Center (40.700421, -73.855356)",raccoon,Native,Unhealthy,Small Mammals-RVS,ACC,1.0,2019,"Forest Park, Queens, NY"
2019-03-26 08:30:00,Staten Island,Hylan Boulevard and Ithaca Street,Bluebelt area on Hylan Boulevard and Ithaca Street,white-tailed deer,Native,DOA,Deer,Relocated/Condition Corrected,1.0,2019,"Hylan Boulevard and Ithaca Street, Staten Island, NY"
2019-03-26 15:45:00,Queens,Dubos Point Wildlife Sanctuary,"Near entrance of park, Bay 65th St and Bayfield Ave",dolphin (unknown),Native,Injured,"Marine Mammals-whales, Dolphin",Unfounded,0.0,2019,"Dubos Point Wildlife Sanctuary, Queens, NY"
2019-03-24 12:00:00,Queens,Alley Pond Park,Oakland Lake,raccoon,Native,DOA,Small Mammals-RVS,Unfounded,0.0,2019,"Alley Pond Park, Queens, NY"
2019-03-26 12:00:00,Queens,Roy Wilkins Recreation Center,Vicinity of Roy Wilkins Rec Ctr,dog,Domestic,Healthy,Domestic,ACC,1.0,2019,"Roy Wilkins Recreation Center, Queens, NY"
2019-03-25 15:20:00,Queens,Macneil Park,"Next to the fence along the waterside; cross streets: Poppenhusen Ave & College Place; 40.793161, -73.848586",raccoon,Native,DOA,Small Mammals-RVS,ACC,1.0,2019,"Macneil Park, Queens, NY"
2019-03-25 15:30:00,Queens,Forest Park,"40.703437, -73.844306",raccoon,Native,DOA,Small Mammals-RVS,ACC,1.0,2019,"Forest Park, Queens, NY"
2019-03-25 13:40:00,Queens,Forest Park,"Near railroad tracks, entrance by Joseph E. Devoy Playground",raccoon,Native,DOA,Small Mammals-RVS,Unfounded,0.0,2019,"Forest Park, Queens, NY"
2019-03-25 08:30:00,Queens,Marco Giovanelli Playground,"40.699031, -73.846816, Park Lane South and Freedom Drive",raccoon,Native,Unhealthy,Small Mammals-RVS,ACC,1.0,2019,"Marco Giovanelli Playground, Queens, NY"
2019-03-24 12:00:00,Brooklyn,Prospect Park,North Lullwater,red-eared slider,Invasive,Injured,Terrestrial Reptile or Amphibian,Monitored Animal,1.0,2019,"Prospect Park, Brooklyn, NY"
2019-03-21 14:00:00,Brooklyn,Owl's Head Park,"Between skate park and basketball court (40.6407775,-74.0300068)",raccoon,Native,Unhealthy,Small Mammals-RVS,ACC,1.0,2019,"Owl's Head Park, Brooklyn, NY"
2019-03-23 15:41:00,Manhattan,Riverside Park,151 St and Riverside PK by the bridge area,chicken,Domestic,,Birds;#Domestic,Unfounded,0.0,2019,"Riverside Park, Manhattan, NY"
2019-03-22 15:45:00,Manhattan,Central Park,"Ravine, South West of Lasker Rink 40.795300, -73.956231",eastern coyote,Native,,Coyotes,Unfounded,0.0,2019,"Central Park, Manhattan, NY"
2019-03-22 15:25:00,Queens,Forest Park,"Greenhouse, near stairs to basement",raccoon,Native,Healthy,Small Mammals-RVS,Relocated/Condition Corrected,1.0,2019,"Forest Park, Queens, NY"
2019-03-22 11:55:00,Brooklyn,Owl's Head Park,Men's Bathroom,raccoon,Native,Healthy,Small Mammals-RVS,Relocated/Condition Corrected,1.0,2019,"Owl's Head Park, Brooklyn, NY"
2019-03-21 09:00:00,Queens,Forest Park,"Union/Myrtle, and Myrtle/Park Ln S",raccoon,Native,DOA,Small Mammals-RVS,Unfounded,0.0,2019,"Forest Park, Queens, NY"
2019-03-20 15:50:00,Brooklyn,Owl's Head Park,Colonial Road and 68th Street,raccoon,Native,Healthy,Small Mammals-RVS,Relocated/Condition Corrected,1.0,2019,"Owl's Head Park, Brooklyn, NY"
2019-03-19 14:00:00,Queens,Highland Park,Ridgewood Reservoir,mute swan,Invasive,Healthy,Birds,Relocated/Condition Corrected,1.0,2019,"Highland Park, Queens, NY"
2019-03-20 09:00:00,Brooklyn,Prospect Park,"Boathouse 40.661675, -73.965723",raccoon,Native,Unhealthy,Small Mammals-RVS,ACC,1.0,2019,"Prospect Park, Brooklyn, NY"
2019-03-20 11:00:00,Queens,Highland Park,"vehicle access ramp to Ridgewood Reservoir path, 40.691041,-73.884486",striped skunk,Native,Unhealthy,Small Mammals-RVS,ACC,1.0,2019,"Highland Park, Queens, NY"
2019-03-20 09:10:00,Queens,Flushing Meadows Corona Park,"Olmstead Garage (40.7519437, -73.8510035)",raccoon,Native,Unhealthy,Small Mammals-RVS,ACC,1.0,2019,"Flushing Meadows Corona Park, Queens, NY"
2019-03-19 11:00:00,Manhattan,Central Park,"North Meadow Ballfield 3 40.791966, -73.961353",raccoon,Native,,Small Mammals-RVS,Unfounded,0.0,2019,"Central Park, Manhattan, NY"
2019-03-19 09:52:00,Bronx,Green Street,167th street and Cromwell avenue,virginia opossum,Native,Injured,Small Mammals-non RVS,ACC,1.0,2019,"Green Street, Bronx, NY"
2019-03-18 16:45:00,Queens,Flushing Meadows Corona Park,Olmsted Center,raccoon,Native,Injured,Small Mammals-RVS,Unfounded,0.0,2019,"Flushing Meadows Corona Park, Queens, NY"
2019-03-18 15:30:00,Staten Island,Willowbrook Park,Willowbrook pond,canada goose,Native,,Birds,Monitored Animal,1.0,2019,"Willowbrook Park, Staten Island, NY"
2019-03-18 15:20:00,Bronx,Orchard Beach,North/East Corner of Parking Lot,striped skunk,Native,,Small Mammals-RVS,Unfounded,0.0,2019,"Orchard Beach, Bronx, NY"
2019-03-18 12:15:00,Brooklyn,Green-Wood Cemetery,"Lake Ave (40.6521274,-73.9982851)",raccoon,Native,Unhealthy,Small Mammals-RVS,ACC,1.0,2019,"Green-Wood Cemetery, Brooklyn, NY"
2019-03-18 09:30:00,Manhattan,Central Park,"The Block House, West Drive",red-tailed hawk,Native,Healthy,Raptors,Monitored Animal,1.0,2019,"Central Park, Manhattan, NY"
2019-03-17 15:30:00,Bronx,Van Cortlandt Park,"40°53'39.9""N 73°53'21.6""W",mute swan,Invasive,DOA,Birds,Unfounded,0.0,2019,"Van Cortlandt Park, Bronx, NY"
2019-03-17 11:00:00,Queens,Forest Park,Myrtle Avenue and Park Lane South,raccoon,Native,Healthy,Small Mammals-RVS,Advised/Educated others,1.0,2019,"Forest Park, Queens, NY"
2019-03-16 15:00:00,Bronx,Orchard Beach,"40.87193,-73.78329",harbor seal,Native,Healthy,Marine Mammals-seals only,Monitored Animal,1.0,2019,"Orchard Beach, Bronx, NY"
2019-03-16 15:40:00,Manhattan,Central Park,Pinetum; E85th and CP Drive,cooper's hawk,Native,Injured,Birds,Rehabilitator,1.0,2019,"Central Park, Manhattan, NY"
2019-03-15 16:45:00,Brooklyn,Prospect Park,Greenwood Ave Entrance,frog (unknown),Native,,Terrestrial Reptile or Amphibian,Unfounded,0.0,2019,"Prospect Park, Brooklyn, NY"
2019-03-16 13:30:00,Brooklyn,Shore Park and Parkway,"40.611201, -74.036748",raccoon,Native,,Small Mammals-RVS,Unfounded,0.0,2019,"Shore Park and Parkway, Brooklyn, NY"
2019-03-15 16:56:00,Bronx,Concrete Plant Park,"40°49'37.8""N 73°53'05.8""W",raccoon,Native,Unhealthy,Small Mammals-RVS,ACC,1.0,2019,"Concrete Plant Park, Bronx, NY"
2019-03-15 15:00:00,Manhattan,Central Park,West 77th CPW,eastern gray squirrel,Native,,Small Mammals-non RVS,Unfounded,0.0,2019,"Central Park, Manhattan, NY"
2019-03-14 10:00:00,Manhattan,Central Park,North Meadow near Ballfield 3,raccoon,Native,,Small Mammals-RVS,Unfounded,0.0,2019,"Central Park, Manhattan, NY"
2019-03-14 14:15:00,Queens,Highland Park,"Behind  ballfield 4, 40.684058, -73.893347",raccoon,Native,Unhealthy,Small Mammals-RVS,Monitored Animal,1.0,2019,"Highland Park, Queens, NY"
2019-03-14 09:00:00,Queens,Macneil Park,"40.793108, -73.851993",raccoon,Native,DOA,Small Mammals-RVS,Relocated/Condition Corrected,1.0,2019,"Macneil Park, Queens, NY"
2019-03-14 09:00:00,Queens,Juniper Valley Park,"Juniper South Playground, 40.718657, -73.882332",raccoon,Native,Unhealthy,Small Mammals-RVS,ACC,1.0,2019,"Juniper Valley Park, Queens, NY"
2019-03-13 15:00:00,Queens,Forest Park,"88th Street and Myrtle Ave (40.702828, -73.858941)",raccoon,Native,Injured,Small Mammals-RVS,ACC,1.0,2019,"Forest Park, Queens, NY"
2019-03-13 13:00:00,Manhattan,Greeley Square Park,42West 33rd St,american woodcock,Native,Injured,Birds,Rehabilitator,1.0,2019,"Greeley Square Park, Manhattan, NY"
2019-03-12 12:00:00,Manhattan,Central Park,"40°47'08.7""N 73°57'27.3""W  ;   between E 92nd & 93rd  & 5th Ave",raccoon,Native,DOA,Small Mammals-RVS,ACC,1.0,2019,"Central Park, Manhattan, NY"
2019-03-12 10:00:00,Manhattan,Central Park,North Meadow,raccoon,Native,,Small Mammals-RVS,Unfounded,0.0,2019,"Central Park, Manhattan, NY"
2019-03-11 15:00:00,Queens,Flushing Meadows Corona Park,Olmstead Center behind,raccoon,Native,Unhealthy,Small Mammals-RVS,Unfounded,0.0,2019,"Flushing Meadows Corona Park, Queens, NY"
2019-03-11 12:00:00,Staten Island,Historic Richmond Town,Creek behind Tavern,canada goose,Native,,Birds,Unfounded,0.0,2019,"Historic Richmond Town, Staten Island, NY"
2019-03-10 13:30:00,Queens,Forest Park,"Metropolitan Avenue and Forest Park Drive, 40.708480, -73.839022",raccoon,Native,Unhealthy,Small Mammals-RVS,ACC,1.0,2019,"Forest Park, Queens, NY"
2019-03-07 12:00:00,Brooklyn,Prospect Park,"Center Drive 40.660202,-73971005",raccoon,Native,Unhealthy,Small Mammals-RVS,ACC,1.0,2019,"Prospect Park, Brooklyn, NY"
2019-03-09 16:30:00,Queens,Highland Park,On path between pump houses,mute swan,Invasive,Injured,Birds,Rehabilitator,1.0,2019,"Highland Park, Queens, NY"
2019-03-07 10:00:00,Manhattan,Central Park,"North Meadow; CPC equipment lot (40.7912072, -73.9601132)",raccoon,Native,Healthy,Small Mammals-RVS,Monitored Animal,1.0,2019,"Central Park, Manhattan, NY"
2019-03-05 15:00:00,Brooklyn,Calvert Vaux Park,"40.5872241, -73.9920693",raccoon,Native,Unhealthy,Small Mammals-RVS,ACC,1.0,2019,"Calvert Vaux Park, Brooklyn, NY"
2019-02-22 12:00:00,Bronx,Van Cortlandt Park,Van Cortlandt Lake,mute swan,Invasive,Healthy,Birds,Relocated/Condition Corrected,1.0,2019,"Van Cortlandt Park, Bronx, NY"
2019-02-22 12:00:00,Bronx,Van Cortlandt Park,Van Cortlandt Lake,mute swan,Invasive,Injured,Birds,Monitored Animal,1.0,2019,"Van Cortlandt Park, Bronx, NY"
2019-02-27 15:30:00,Staten Island,Historic Richmond Town,Mill Creek,canada goose,Native,,Birds,Unfounded,0.0,2019,"Historic Richmond Town, Staten Island, NY"
2019-03-02 15:25:00,Queens,Ehrenreich-Austin Playground,Austin Street and 77 th Rd,raccoon,Native,Unhealthy,Small Mammals-RVS,ACC,1.0,2019,"Ehrenreich-Austin Playground, Queens, NY"
2019-03-01 16:40:00,Manhattan,Central Park,"E96th North Meadow; paper recycling bin. (40.7910206, -73.9594221)",raccoon,Native,Healthy,Small Mammals-RVS,Relocated/Condition Corrected,1.0,2019,"Central Park, Manhattan, NY"
2019-03-01 12:40:00,Manhattan,Riverside Park,W91st to W111th,eastern coyote,Native,,Coyotes,Advised/Educated others,1.0,2019,"Riverside Park, Manhattan, NY"
2019-02-28 14:00:00,Manhattan,Inwood Hill Park,"In the Clove section of the park, east of the Rock Formations (AKA Indian Caves) East side of Blue trail, on top of the Shell Midden. (40.872589, -73.924204)",raccoon,Native,DOA,Small Mammals-RVS,ACC,1.0,2019,"Inwood Hill Park, Manhattan, NY"
2019-02-28 13:30:00,Staten Island,Historic Richmondtown,Pond across St. Andrew's Church,canada goose,Native,Injured,Birds,Monitored Animal,1.0,2019,"Historic Richmondtown, Staten Island, NY"
2019-02-28 09:05:00,Queens,Park Of The Americas,41st Ave and 104th St,dog,Domestic,Healthy,Domestic,ACC,1.0,2019,"Park Of The Americas, Queens, NY"
2019-02-27 11:50:00,Manhattan,Inwood Hill Park,"North west of the 9A overpass GPS 40.8770216, -73.9237783",raccoon,Native,DOA,Small Mammals-RVS,Relocated/Condition Corrected,1.0,2019,"Inwood Hill Park, Manhattan, NY"
2019-02-27 14:30:00,Staten Island,Historic Richmond Town,Creek behind Tavern off of Richmond Rd,canada goose,Native,,Birds,Unfounded,0.0,2019,"Historic Richmond Town, Staten Island, NY"
2019-02-26 13:10:00,Manhattan,Inwood Hill Park,In front of the rock shelters. (Indian Caves),raccoon,Native,DOA,Small Mammals-RVS,Relocated/Condition Corrected,1.0,2019,"Inwood Hill Park, Manhattan, NY"
2019-02-26 12:30:00,Manhattan,Inwood Hill Park,"On the uphill trail to the west of Shorakappock Rock 40.873702, -73.923892",raccoon,Native,Unhealthy,Small Mammals-RVS,ACC,1.0,2019,"Inwood Hill Park, Manhattan, NY"
2019-02-25 13:19:00,Staten Island,Historic Richmond town,In creek behind Richmond Tavern,canada goose,Native,,Birds,Monitored Animal,1.0,2019,"Historic Richmond town, Staten Island, NY"
2019-02-22 12:00:00,Bronx,Van Cortlandt Park,Van Cortlandt Lake,mute swan,Invasive,Injured,Birds,Monitored Animal,1.0,2019,"Van Cortlandt Park, Bronx, NY"
2019-02-24 12:00:00,Queens,Highland Park,Vermont St and Bulwer Pl,raccoon,Native,Healthy,Small Mammals-RVS,Monitored Animal,1.0,2019,"Highland Park, Queens, NY"
2019-02-23 09:30:00,Bronx,Matthews Muliner Playground,"Matthews Ave., between Morris Park Ave. and Rhinelander Ave.",raccoon,Native,,Small Mammals-RVS,Unfounded,0.0,2019,"Matthews Muliner Playground, Bronx, NY"
2019-02-22 14:00:00,Staten Island,Lemon Creek Park,"Bayside of park, near pier.",seal (unknown),Native,,Marine Mammals-seals only,Unfounded,0.0,2019,"Lemon Creek Park, Staten Island, NY"
2019-02-21 17:10:00,Manhattan,Central Park,West Drive at West 78th St,raccoon,Native,,Small Mammals-RVS,Unfounded,0.0,2019,"Central Park, Manhattan, NY"
