Date and Time of initial call,Borough,Property,Location,Species Description,Species Status,Animal Condition,Animal Class,Final Ranger Action,# of Animals,Year,full_address
2022-06-07 12:40:00,Queens,Fort Totten Park,402 Murray Ave,american robin,Native,Healthy,Birds,Relocated/Condition Corrected,1.0,2022,"Fort Totten Park, Queens, NY"
2022-06-07 13:20:00,Bronx,Givan Square,East Gun Hill Road/Eastchester Rd,snake (unknown),,,Terrestrial Reptile or Amphibian,Unfounded,0.0,2022,"Givan Square, Bronx, NY"
2022-06-08 07:30:00,Brooklyn,Parade Ground,Parade Grounds PEP office,eastern gray squirrel,Native,Healthy,Small Mammals-non RVS,Relocated/Condition Corrected,1.0,2022,"Parade Ground, Brooklyn, NY"
2022-06-08 08:00:00,Brooklyn,Prospect Park,Terrace bridge,raccoon,Native,Unhealthy,Small Mammals-RVS,ACC,1.0,2022,"Prospect Park, Brooklyn, NY"
2022-06-08 08:30:00,Manhattan,Central Park,"near Ancient Playground, E.86th St. & 5th Ave",peregrine falcon,Native,Injured,Raptors,Rehabilitator,1.0,2022,"Central Park, Manhattan, NY"
2022-06-08 09:40:00,Queens,Astoria Park,Pool Building,raccoon,Native,Healthy,Small Mammals-RVS,Advised/Educated others,3.0,2022,"Astoria Park, Queens, NY"
2022-06-08 12:00:00,Brooklyn,Prospect Park,Dog Beach,red-eared slider,Native,Injured,Terrestrial Reptile or Amphibian,Unfounded,0.0,2022,"Prospect Park, Brooklyn, NY"
2022-06-08 12:30:00,Queens,Forest Park,visitor center,american robin,Native,Injured,Birds,Rehabilitator,1.0,2022,"Forest Park, Queens, NY"
2022-06-08 13:00:00,Brooklyn,Prospect Park,Music Island,red-eared slider,Invasive,Injured,Terrestrial Reptile or Amphibian,Unfounded,0.0,2022,"Prospect Park, Brooklyn, NY"
2022-06-08 14:00:00,Staten Island,Willowbrook Park,pond by facilities,canada goose,Native,Healthy,Birds,Monitored Animal,1.0,2022,"Willowbrook Park, Staten Island, NY"
2022-06-08 16:47:00,Queens,Forest Park,between Carousel and the Green House,turtle (unknown),,Healthy,Terrestrial Reptile or Amphibian,Unfounded,0.0,2022,"Forest Park, Queens, NY"
2022-06-08 18:20:00,Bronx,Pelham Bay Park,Orchard Beach section 1,herring gull,Native,Unhealthy,Birds,Relocated/Condition Corrected,1.0,2022,"Pelham Bay Park, Bronx, NY"
2022-06-09 07:30:00,Staten Island,Conference House Park,visitor's center,herring gull,Native,DOA,Birds,Relocated/Condition Corrected,1.0,2022,"Conference House Park, Staten Island, NY"
2022-06-09 09:40:00,Queens,Rockaway Beach and Boardwalk,B87 Street,greater shearwater,Native,Unhealthy,Birds,Rehabilitator,1.0,2022,"Rockaway Beach and Boardwalk, Queens, NY"
2022-06-09 13:00:00,Queens,Flushing Meadows Corona Park,Between Unisphere and Billy Jean King Tennis Center,red-tailed hawk,Native,Healthy,Raptors,Advised/Educated others,1.0,2022,"Flushing Meadows Corona Park, Queens, NY"
2022-06-09 13:30:00,Staten Island,Von Briesen Park,parking lot,common snapping turtle,Native,Healthy,Terrestrial Reptile or Amphibian,Relocated/Condition Corrected,1.0,2022,"Von Briesen Park, Staten Island, NY"
2022-06-09 13:50:00,Queens,Flushing Meadows Corona Park,Near the skateboarding area,virginia opossum,Native,,Small Mammals-non RVS,Unfounded,0.0,2022,"Flushing Meadows Corona Park, Queens, NY"
2022-06-09 14:30:00,Manhattan,Fort Tryon Park,Margaret Corbin Circle,lovebird,Exotic,Healthy,Birds,Rehabilitator,3.0,2022,"Fort Tryon Park, Manhattan, NY"
